Affinity, Linkage, Result
euclidean, ward, 0.3157894736842105
euclidean, complete, 0.29473684210526313
manhattan, complete, 0.2736842105263158
l1, complete, 0.2736842105263158
l2, complete, 0.29473684210526313
cosine, complete, 0.25263157894736843
euclidean, average, 0.37894736842105264
manhattan, average, 0.25263157894736843
l1, average, 0.25263157894736843
l2, average, 0.37894736842105264
cosine, average, 0.2736842105263158
euclidean, single, 0.3157894736842105
manhattan, single, 0.3157894736842105
l1, single, 0.3157894736842105
l2, single, 0.3157894736842105
cosine, single, 0.35789473684210527