Kernel, Class Weight, Accuracy
rbf, balanced, 0.6069199999999941
rbf, 1, 0.7575733333333305
sigmoid, balanced, 0.6330933333333322
sigmoid, 1, 0.760953333333333
linear, balanced, 0.5302666666666612
linear, 1, 0.7629799999999994
poly2, balanced, 0.6007799999999943
poly2, 1, 0.7614466666666654
poly3, balanced, 0.5893066666666604
poly3, 1, 0.747573333333334
poly5, balanced, 0.6108 (50 iter)
poly5, 1, 0.7084 (50 iter)
poly7, balanced, 0.6108 (50 iter)
poly7, 1, 0.7220000000000003 (50 iter)
poly9, balanced, 0.6107999999999998 (50 iter)
poly9, 1, 0.7067999999999998 (50 iter)